Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude
Charadrius alticola,Charadriidae,Charadriiformes,16.7,2.7,3.2,27.4,117.5,48.7,48.0,44.9,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,605273.3,-26.96,-10.66,-68.99,-18.69
Charadrius aquilonius,Charadriidae,Charadriiformes,27.5,5.3,6.5,39.0,160.4,43.2,68.7,146.0,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,9829.99,-40.86,-34.39,174.51,-36.28
Charadrius asiaticus,Charadriidae,Charadriiformes,22.9,3.6,4.2,37.1,140.6,58.0,54.0,77.1,Desert,Carnivore,Omnivore,Terrestrial,3.0,2844122.74,37.02,50.34,66.44,44.94
Charadrius bicinctus,Charadriidae,Charadriiformes,19.2,3.4,3.8,30.6,127.4,54.1,55.8,59.4,Riverine,Carnivore,Aquatic predator,Terrestrial,2.0,270351.2,-52.61,-34.14,171.52,-41.81
Charadrius bifrontatus,Charadriidae,Charadriiformes,19.6,3.5,3.9,24.7,108.9,45.9,61.0,31.2,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,188628.68,-25.61,-11.95,46.71,-19.46
Charadrius collaris,Charadriidae,Charadriiformes,17.3,3.3,3.8,25.9,95.6,49.9,44.8,28.3,Riverine,Carnivore,Aquatic predator,Terrestrial,2.0,15045745.17,-39.27,23.84,-59.75,-10.53
Charadrius dealbatus,Charadriidae,Charadriiformes,19.4,3.3,3.8,25.6,107.7,53.2,44.8,42.3,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,340626.3,16.02,26.31,111.54,22.29
Charadrius dubius,Charadriidae,Charadriiformes,16.1,2.6,3.1,23.2,114.8,51.0,55.6,38.7,Wetland,Carnivore,Aquatic predator,Terrestrial,3.0,33641119.87,-10.44,68.39,79.16,43.86
Charadrius falklandicus,Charadriidae,Charadriiformes,20.1,3.4,3.6,28.4,126.0,52.3,50.4,65.0,Wetland,Carnivore,Aquatic predator,Terrestrial,3.0,802047.01,-55.98,-31.53,-67.77,-45.45
Charadrius forbesi,Charadriidae,Charadriiformes,18.7,3.4,4.1,29.5,124.2,50.0,65.8,31.2,Wetland,Carnivore,Invertivore,Terrestrial,1.0,6268147.12,-13.3,12.46,16.39,0.73
Charadrius hiaticula,Charadriidae,Charadriiformes,16.1,3.3,3.7,25.3,126.0,53.5,60.2,64.0,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,4520829.19,47.85,83.63,39.0,69.82
Charadrius javanicus,Charadriidae,Charadriiformes,16.5,3.0,3.4,25.0,98.8,50.2,38.2,42.3,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,109967.51,-10.32,-4.26,114.13,-7.7
Charadrius leschenaultii,Charadriidae,Charadriiformes,26.5,4.2,5.4,36.5,136.4,53.1,49.8,74.8,Grassland,Carnivore,Aquatic predator,Terrestrial,3.0,5473335.58,31.8,54.71,88.45,44.18
Charadrius marginatus,Charadriidae,Charadriiformes,18.7,3.0,3.5,25.7,109.0,48.8,49.6,48.3,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,4442943.8,-34.84,17.79,22.4,-15.01
Charadrius melodus,Charadriidae,Charadriiformes,15.0,3.7,4.0,22.1,115.4,54.5,49.6,54.4,Coastal,Carnivore,Aquatic predator,Terrestrial,3.0,501145.23,35.32,53.42,-97.39,46.4
Charadrius modestus,Charadriidae,Charadriiformes,20.8,4.0,4.3,34.1,141.4,53.4,64.2,78.0,Grassland,Carnivore,Aquatic predator,Terrestrial,3.0,256974.73,-55.98,-43.53,-70.74,-51.1
Charadrius mongolus,Charadriidae,Charadriiformes,18.0,4.0,4.2,29.8,128.8,58.5,52.8,64.0,Wetland,Carnivore,Aquatic predator,Terrestrial,3.0,4714238.7,-8.34,66.41,105.77,41.63
Charadrius montanus,Charadriidae,Charadriiformes,23.4,4.0,4.1,39.4,145.6,54.1,62.8,95.7,Grassland,Carnivore,Invertivore,Terrestrial,3.0,759250.62,26.48,49.48,-106.8,41.32
Charadrius nivosus,Charadriidae,Charadriiformes,16.8,2.9,3.3,23.7,102.5,53.4,39.8,42.3,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,1602228.88,-43.43,46.7,-97.65,20.59
Charadrius obscurus,Charadriidae,Charadriiformes,31.0,4.8,6.1,37.2,168.8,52.6,64.8,146.0,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,311.44,-47.14,-46.37,168.48,-46.52
Charadrius pallidus,Charadriidae,Charadriiformes,15.3,3.1,3.4,26.8,90.4,49.0,36.2,34.8,Wetland,Carnivore,Aquatic predator,Terrestrial,2.0,480800.22,-34.84,-1.37,25.25,-23.67
Charadrius pecuarius,Charadriidae,Charadriiformes,18.4,3.2,3.3,29.9,102.2,52.4,45.0,34.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,16351827.57,-34.84,31.6,24.87,-3.25
Charadrius peronii,Charadriidae,Charadriiformes,16.7,3.4,3.9,27.5,99.2,45.1,37.8,42.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,1266391.62,-10.94,19.0,113.13,2.44
Charadrius placidus,Charadriidae,Charadriiformes,22.5,3.3,4.0,30.0,137.8,51.7,69.0,62.7,Riverine,Carnivore,Aquatic predator,Terrestrial,3.0,2370427.23,26.6,51.93,124.82,41.52
Charadrius ruficapillus,Charadriidae,Charadriiformes,15.7,2.6,3.0,24.9,99.2,52.7,38.6,37.4,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,4811331.66,-43.64,-8.33,133.76,-27.1
Charadrius sanctaehelenae,Charadriidae,Charadriiformes,23.2,3.7,3.8,38.4,111.4,40.1,51.0,48.7,Grassland,Carnivore,Invertivore,Terrestrial,1.0,43.62,-16.0,-15.91,-5.71,-15.96
Charadrius semipalmatus,Charadriidae,Charadriiformes,14.5,3.2,3.7,22.9,118.4,56.0,51.8,46.7,Wetland,Carnivore,Aquatic predator,Terrestrial,3.0,4938225.48,43.39,73.56,-120.66,64.38
Charadrius thoracicus,Charadriidae,Charadriiformes,19.6,3.4,3.5,30.6,104.2,49.0,45.5,11.5,Coastal,Carnivore,Invertivore,Terrestrial,1.0,14469.49,-25.61,-15.62,44.22,-20.92
Charadrius tricollaris,Charadriidae,Charadriiformes,16.5,2.6,3.2,23.7,109.0,47.1,60.8,31.2,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,9221083.48,-34.84,24.28,27.29,-12.87
Charadrius veredus,Charadriidae,Charadriiformes,23.9,3.7,4.3,44.0,158.6,58.9,57.2,95.0,Wetland,Carnivore,Omnivore,Terrestrial,3.0,1531695.94,42.33,51.84,105.58,47.51
Charadrius vociferus,Charadriidae,Charadriiformes,21.5,3.5,4.2,34.4,158.8,52.6,85.8,96.4,Wetland,Carnivore,Omnivore,Terrestrial,3.0,14759088.1,-18.69,68.94,-102.9,44.7
Charadrius wilsonia,Charadriidae,Charadriiformes,22.9,4.6,5.8,28.0,117.4,53.5,45.2,55.1,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,867940.44,-14.87,38.41,-77.05,14.57
Elseyornis melanops,Charadriidae,Charadriiformes,17.3,3.0,3.6,24.8,107.8,45.8,55.8,33.0,Wetland,Carnivore,Aquatic predator,Terrestrial,2.0,7354478.04,-46.68,-10.51,136.04,-25.92
Erythrogonys cinctus,Charadriidae,Charadriiformes,24.1,3.4,4.3,39.0,110.2,42.2,46.5,51.4,Wetland,Carnivore,Aquatic predator,Terrestrial,2.0,5111119.63,-39.24,-7.73,134.28,-25.94
Eudromias morinellus,Charadriidae,Charadriiformes,18.8,3.5,4.3,35.6,147.4,55.9,66.3,108.2,Grassland,Carnivore,Invertivore,Terrestrial,3.0,3830439.01,41.9,76.52,83.07,65.85
Hoploxypterus cayanus,Charadriidae,Charadriiformes,26.6,4.4,4.8,46.9,143.0,43.9,59.8,75.8,Riverine,Carnivore,Aquatic predator,Terrestrial,1.0,11467799.98,-27.3,10.77,-57.18,-7.75
Oreopholus ruficollis,Charadriidae,Charadriiformes,33.2,3.7,3.6,49.3,162.7,55.6,76.6,131.0,Grassland,Carnivore,Invertivore,Terrestrial,3.0,1451500.49,-54.29,-4.5,-69.37,-31.58
Peltohyas australis,Charadriidae,Charadriiformes,20.3,4.4,4.1,33.0,136.4,51.3,63.8,83.5,Grassland,Herbivore,Omnivore,Terrestrial,2.0,651810.43,-37.53,-20.56,133.97,-30.13
Phegornis mitchellii,Charadriidae,Charadriiformes,29.3,2.6,2.9,22.8,109.0,38.3,48.4,35.5,Grassland,Carnivore,Aquatic predator,Terrestrial,2.0,761982.96,-36.79,-9.99,-68.8,-22.6
Pluvialis apricaria,Charadriidae,Charadriiformes,25.0,3.7,4.9,38.0,181.2,57.4,70.2,214.0,Grassland,Carnivore,Invertivore,Terrestrial,3.0,3294836.99,50.39,73.69,46.78,65.53
Pluvialis dominica,Charadriidae,Charadriiformes,26.3,3.8,5.1,39.9,181.8,58.7,65.8,151.5,Grassland,Carnivore,Invertivore,Terrestrial,3.0,3598916.91,57.51,76.07,-119.15,66.9
Pluvialis fulva,Charadriidae,Charadriiformes,25.2,4.2,5.2,40.2,159.0,59.3,58.4,134.9,Grassland,Carnivore,Omnivore,Terrestrial,3.0,2241495.9,55.93,77.73,101.44,69.46
Pluvialis squatarola,Charadriidae,Charadriiformes,32.0,5.1,7.0,44.5,184.4,60.1,71.4,250.0,Grassland,Carnivore,Aquatic predator,Terrestrial,3.0,3963258.28,58.39,79.37,24.35,70.21
Thinornis cucullatus,Charadriidae,Charadriiformes,21.0,3.3,4.3,25.2,138.0,52.0,60.0,100.0,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,608290.87,-43.64,-17.4,127.52,-34.07
Thinornis novaeseelandiae,Charadriidae,Charadriiformes,26.6,2.9,3.9,22.3,117.4,50.0,59.8,61.0,Coastal,Carnivore,Aquatic predator,Terrestrial,2.0,3.89,-44.36,-44.26,-176.23,-44.31
Vanellus albiceps,Charadriidae,Charadriiformes,37.2,6.0,6.7,75.8,218.5,39.3,99.2,192.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,7550710.29,-25.49,17.23,13.18,2.8
Vanellus armatus,Charadriidae,Charadriiformes,33.2,4.6,5.5,73.3,203.6,40.4,79.2,156.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,5662037.2,-34.84,1.35,25.38,-19.13
Vanellus chilensis,Charadriidae,Charadriiformes,35.1,6.4,7.1,74.6,226.0,31.0,101.3,327.0,Grassland,Carnivore,Omnivore,Terrestrial,1.0,13321164.29,-55.98,14.75,-58.64,-16.84
Vanellus cinereus,Charadriidae,Charadriiformes,38.9,5.9,7.3,77.8,239.8,45.2,102.6,270.0,Wetland,Carnivore,Aquatic predator,Terrestrial,3.0,549695.13,24.87,51.1,126.71,45.14
Vanellus coronatus,Charadriidae,Charadriiformes,31.8,4.0,5.2,69.5,197.2,39.9,85.2,165.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,6790147.37,-34.84,12.05,28.46,-13.87
Vanellus crassirostris,Charadriidae,Charadriiformes,37.9,6.1,7.2,76.7,209.4,36.2,95.0,170.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,3461973.99,-28.96,13.71,30.06,-7.58
Vanellus duvaucelii,Charadriidae,Charadriiformes,33.7,4.4,5.3,65.1,194.4,39.3,85.8,143.0,Riverine,Carnivore,Aquatic predator,Terrestrial,1.0,1666558.67,7.48,30.09,93.64,21.94
Vanellus gregarius,Charadriidae,Charadriiformes,34.4,4.6,5.5,60.9,200.2,49.2,80.4,224.5,Grassland,Carnivore,Invertivore,Terrestrial,3.0,1077682.03,44.13,54.45,68.33,50.31
Vanellus indicus,Charadriidae,Charadriiformes,34.7,5.3,5.4,74.2,208.8,43.2,104.0,181.0,Wetland,Carnivore,Invertivore,Terrestrial,1.0,7325570.07,3.85,39.27,78.36,23.77
Vanellus leucurus,Charadriidae,Charadriiformes,33.5,4.1,5.1,70.5,171.4,40.8,74.4,132.0,Wetland,Carnivore,Aquatic predator,Terrestrial,3.0,1832228.1,25.85,47.66,60.25,38.32
Vanellus lugubris,Charadriidae,Charadriiformes,25.4,4.4,5.0,59.5,172.2,45.5,64.0,122.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,3495483.7,-28.94,12.16,28.24,-6.69
Vanellus malabaricus,Charadriidae,Charadriiformes,27.2,4.7,4.9,59.5,192.4,47.9,74.8,140.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,1885987.77,6.01,31.57,78.22,20.94
Vanellus melanocephalus,Charadriidae,Charadriiformes,30.2,4.7,5.2,61.1,234.5,39.4,88.0,214.0,Grassland,Carnivore,Aquatic predator,Terrestrial,1.0,179801.06,5.94,13.41,38.49,9.91
Vanellus melanopterus,Charadriidae,Charadriiformes,31.2,4.2,5.1,59.6,206.0,50.7,77.8,184.9,Grassland,Carnivore,Invertivore,Terrestrial,1.0,839078.51,-34.22,16.08,35.44,-1.17
Vanellus miles,Charadriidae,Charadriiformes,38.8,5.6,6.5,76.2,245.7,36.0,103.8,387.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,3053421.93,-30.27,-3.58,135.29,-18.49
Vanellus novaehollandiae,Charadriidae,Charadriiformes,39.2,6.1,6.6,73.6,244.7,35.2,101.5,387.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,3166356.58,-47.29,-18.57,146.21,-30.4
Vanellus resplendens,Charadriidae,Charadriiformes,36.9,4.5,5.7,53.8,217.6,39.9,99.0,214.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,734854.94,-26.82,2.07,-69.86,-16.97
Vanellus senegallus,Charadriidae,Charadriiformes,36.3,6.0,6.5,83.5,225.2,38.5,97.4,248.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,11259086.33,-30.02,17.96,19.29,-0.22
Vanellus spinosus,Charadriidae,Charadriiformes,31.2,4.6,5.7,66.7,196.4,37.2,91.6,188.0,Wetland,Carnivore,Omnivore,Terrestrial,1.0,8392007.79,-6.43,41.44,19.13,11.43
Vanellus superciliosus,Charadriidae,Charadriiformes,24.9,4.7,5.2,54.8,182.5,45.4,70.8,150.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,752501.59,2.73,8.64,16.46,5.83
Vanellus tectus,Charadriidae,Charadriiformes,25.8,4.0,4.5,58.5,184.8,39.1,85.0,100.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,5265920.67,-4.16,18.52,15.11,11.62
Vanellus tricolor,Charadriidae,Charadriiformes,28.2,4.7,5.2,49.7,192.2,44.1,77.5,184.0,Grassland,Omnivore,Omnivore,Terrestrial,1.0,5643954.24,-43.64,-15.92,135.39,-27.76
Vanellus vanellus,Charadriidae,Charadriiformes,28.1,4.6,5.5,48.3,222.5,40.2,103.2,218.4,Wetland,Carnivore,Omnivore,Terrestrial,2.0,18594755.95,31.16,71.19,61.57,52.6
Chionis albus,Chionidae,Charadriiformes,32.7,10.0,17.2,46.5,246.2,40.1,103.0,675.7,Marine,Omnivore,Omnivore,Terrestrial,3.0,30472.35,-66.21,-53.97,-58.18,-63.28
Chionis minor,Chionidae,Charadriiformes,33.5,8.7,14.6,45.4,227.0,35.9,105.8,494.0,Marine,Omnivore,Omnivore,Terrestrial,2.0,8219.09,-53.19,-45.97,67.76,-49.28
Dromas ardeola,Dromadidae,Charadriiformes,62.7,9.9,14.9,90.4,208.5,53.7,66.7,325.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,318985.68,11.36,30.79,49.42,22.79
Cursorius coromandelicus,Glareolidae,Charadriiformes,22.2,4.9,4.6,50.0,145.0,43.0,52.8,138.0,Grassland,Carnivore,Invertivore,Terrestrial,1.0,2383016.48,7.64,33.75,77.86,22.56
Cursorius cursor,Glareolidae,Charadriiformes,27.1,5.0,4.5,51.2,151.5,46.4,57.2,138.0,Desert,Carnivore,Invertivore,Terrestrial,2.0,3131259.74,12.3,40.93,35.77,30.88
Cursorius rufus,Glareolidae,Charadriiformes,23.1,4.4,4.3,46.5,133.0,43.7,50.6,75.0,Shrubland,Carnivore,Invertivore,Terrestrial,1.0,1392070.57,-34.79,-14.19,20.01,-26.61
Cursorius somalensis,Glareolidae,Charadriiformes,26.6,4.5,4.5,52.8,128.8,41.9,46.8,138.0,Desert,Carnivore,Invertivore,Terrestrial,1.0,1128378.41,-2.12,11.99,43.61,5.67
Cursorius temminckii,Glareolidae,Charadriiformes,21.3,4.4,4.2,40.9,120.2,38.4,42.8,69.2,Grassland,Carnivore,Invertivore,Terrestrial,1.0,10871643.44,-30.47,17.24,19.25,-4.51
Glareola cinerea,Glareolidae,Charadriiformes,15.9,4.4,4.6,24.0,141.6,58.3,53.0,37.4,Riverine,Carnivore,Invertivore,Aerial,3.0,3439738.6,-6.93,17.29,13.24,3.82
Glareola lactea,Glareolidae,Charadriiformes,13.1,4.2,4.4,21.0,146.6,61.4,51.4,39.8,Riverine,Carnivore,Invertivore,Aerial,2.0,3735669.19,5.92,35.6,85.05,22.18
Glareola maldivarum,Glareolidae,Charadriiformes,18.5,5.2,6.1,32.1,176.2,59.2,78.4,75.2,Grassland,Carnivore,Invertivore,Aerial,3.0,6014195.65,4.88,53.2,112.84,35.56
Glareola nordmanni,Glareolidae,Charadriiformes,19.9,5.2,5.9,35.8,196.0,61.4,97.4,97.2,Grassland,Carnivore,Invertivore,Aerial,3.0,2251795.82,39.72,55.8,57.95,50.38
Glareola nuchalis,Glareolidae,Charadriiformes,14.1,4.1,4.4,19.6,143.2,55.8,57.6,62.7,Rock,Carnivore,Invertivore,Aerial,2.0,6244433.49,-21.15,18.38,19.28,-2.52
Glareola ocularis,Glareolidae,Charadriiformes,20.2,6.1,7.0,27.2,190.5,62.0,67.5,91.9,Coastal,Carnivore,Invertivore,Aerial,3.0,545354.28,-25.61,-11.95,46.56,-19.74
Glareola pratincola,Glareolidae,Charadriiformes,20.1,4.9,6.0,30.9,181.6,60.7,106.0,84.9,Grassland,Carnivore,Invertivore,Aerial,3.0,5351786.34,-30.13,50.75,47.97,30.72
Rhinoptilus bitorquatus,Glareolidae,Charadriiformes,20.1,5.1,5.9,66.5,157.5,35.4,58.0,150.0,Shrubland,Carnivore,Invertivore,Terrestrial,1.0,19306.74,14.25,15.43,78.38,14.86
Rhinoptilus chalcopterus,Glareolidae,Charadriiformes,21.7,4.8,6.0,71.0,175.4,40.1,76.4,150.0,Woodland,Carnivore,Invertivore,Terrestrial,1.0,10146624.15,-30.46,17.04,21.69,-4.12
Rhinoptilus cinctus,Glareolidae,Charadriiformes,20.0,4.5,4.7,62.8,160.6,36.4,78.8,105.0,Shrubland,Carnivore,Invertivore,Terrestrial,1.0,1957707.6,-23.33,11.75,34.47,-5.73
Smutsornis africanus,Glareolidae,Charadriiformes,16.2,3.1,3.8,52.9,147.8,43.7,64.2,87.5,Desert,Carnivore,Invertivore,Terrestrial,1.0,2999057.71,-34.84,13.15,27.43,-16.64
Stiltia isabella,Glareolidae,Charadriiformes,19.5,4.8,5.3,47.8,206.0,62.2,55.0,65.5,Grassland,Carnivore,Invertivore,Terrestrial,2.0,3330886.74,-35.7,-13.73,137.25,-23.73
Haematopus ater,Haematopodidae,Charadriiformes,76.9,8.5,12.6,51.0,254.4,41.5,100.3,724.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,593669.97,-55.76,61.36,-102.43,2.79
Haematopus chathamensis,Haematopodidae,Charadriiformes,89.9,7.8,9.5,50.6,252.0,49.5,93.3,598.7,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,24.31,-44.36,-43.7,-176.46,-44.01
Haematopus finschi,Haematopodidae,Charadriiformes,90.3,7.2,9.4,46.8,252.2,50.6,92.5,526.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,46431.85,-46.2,-41.53,170.06,-44.39
Haematopus fuliginosus,Haematopodidae,Charadriiformes,80.8,9.0,12.7,51.9,283.0,44.7,118.0,819.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,812087.46,-43.64,-10.69,136.74,-30.01
Haematopus leucopodus,Haematopodidae,Charadriiformes,78.5,7.9,10.2,45.6,256.6,47.9,102.4,618.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,389056.06,-55.98,-42.01,-70.93,-50.23
Haematopus longirostris,Haematopodidae,Charadriiformes,88.8,8.2,11.6,55.1,275.4,49.9,106.0,613.9,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,855198.88,-43.64,-5.27,137.5,-27.45
Haematopus moquini,Haematopodidae,Charadriiformes,76.7,8.4,12.3,50.2,267.2,42.8,106.8,692.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,136999.78,-34.84,-17.47,21.19,-30.2
Haematopus ostralegus,Haematopodidae,Charadriiformes,76.1,7.5,11.8,49.9,250.3,51.2,106.0,526.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,9505624.97,34.19,71.19,67.16,52.94
Haematopus palliatus,Haematopodidae,Charadriiformes,86.0,8.2,12.4,54.0,246.8,48.0,95.8,601.5,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,1471742.97,-49.39,41.47,-70.58,-1.39
Haematopus unicolor,Haematopodidae,Charadriiformes,85.4,8.3,10.8,54.6,270.4,46.7,101.2,671.0,Coastal,Carnivore,Aquatic predator,Terrestrial,1.0,73499.48,-47.29,-34.39,172.97,-40.4
Ibidorhyncha struthersii,Ibidorhynchidae,Charadriiformes,79.3,5.3,6.4,46.4,231.2,43.5,112.4,294.0,Riverine,Carnivore,Aquatic predator,Terrestrial,2.0,4986455.37,26.52,45.83,92.44,35.52
Actophilornis africanus,Jacanidae,Charadriiformes,37.1,4.6,6.3,65.7,156.0,29.9,47.0,189.1,Wetland,Carnivore,Aquatic predator,Terrestrial,2.0,16988448.66,-34.84,16.9,21.46,-3.72
Actophilornis albinucha,Jacanidae,Charadriiformes,33.4,4.4,6.2,66.4,159.6,31.0,45.0,239.0,Wetland,Carnivore,Aquatic predator,Terrestrial,2.0,113054.99,-22.43,-11.95,46.23,-16.56
Hydrophasianus chirurgus,Jacanidae,Charadriiformes,32.8,4.2,5.5,52.9,194.4,40.9,69.5,160.0,Wetland,Omnivore,Aquatic predator,Terrestrial,2.0,6414861.88,-3.42,36.56,94.46,23.9
Irediparra gallinacea,Jacanidae,Charadriiformes,28.1,3.4,5.2,58.9,135.1,32.4,41.2,98.8,Wetland,Omnivore,Aquatic predator,Terrestrial,1.0,2181164.52,-32.76,10.47,136.09,-13.01
Jacana jacana,Jacanidae,Charadriiformes,34.0,4.1,6.4,53.9,129.0,20.0,43.1,106.2,Wetland,Omnivore,Omnivore,Terrestrial,1.0,13881637.25,-37.84,12.49,-58.0,-10.23
Jacana spinosa,Jacanidae,Charadriiformes,31.9,4.1,6.1,56.0,128.0,21.9,45.0,94.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,1044408.35,7.86,25.04,-89.38,17.24
Metopidius indicus,Jacanidae,Charadriiformes,34.3,4.6,7.7,67.8,161.4,32.0,47.0,155.0,Wetland,Herbivore,Omnivore,Terrestrial,1.0,2649332.71,-7.78,29.79,88.76,19.2
Microparra capensis,Jacanidae,Charadriiformes,19.6,2.5,3.3,34.8,86.2,33.1,29.4,41.3,Wetland,Carnivore,Aquatic predator,Terrestrial,2.0,3244082.83,-31.55,18.12,25.55,-10.33
Anous albivittus,Laridae,Charadriiformes,30.0,3.1,5.0,25.2,201.8,60.4,106.5,72.2,Marine,Carnivore,Aquatic predator,Aerial,2.0,14237945.1,-38.0,-16.9,-60.73,-28.82
Anous ceruleus,Laridae,Charadriiformes,27.7,2.7,4.3,22.9,175.8,59.0,92.4,53.0,Marine,Carnivore,Aquatic predator,Aerial,2.0,33816689.35,-28.46,30.32,-67.5,-0.42
Anous minutus,Laridae,Charadriiformes,49.5,4.2,6.5,21.9,222.0,61.2,114.0,112.4,Marine,Carnivore,Aquatic predator,Aerial,2.0,6602963.98,-32.52,29.34,55.65,-3.19
Anous stolidus,Laridae,Charadriiformes,45.6,4.7,7.6,25.8,265.4,63.0,145.2,177.8,Marine,Carnivore,Aquatic predator,Aerial,2.0,10192935.47,-41.4,29.11,17.29,-4.29
Anous tenuirostris,Laridae,Charadriiformes,46.7,3.8,5.7,21.2,212.0,60.6,105.4,112.0,Marine,Carnivore,Aquatic predator,Aerial,2.0,177139.92,-29.24,7.37,74.55,-4.3
Chlidonias albostriatus,Laridae,Charadriiformes,29.9,3.6,6.5,17.1,239.6,64.5,108.2,94.7,Coastal,Carnivore,Aquatic predator,Aerial,2.0,93279.7,-46.68,-40.5,170.87,-44.17
Chlidonias hybrida,Laridae,Charadriiformes,35.0,4.3,7.5,23.0,231.8,63.6,85.8,83.7,Wetland,Carnivore,Aquatic predator,Aerial,3.0,10089513.85,-38.03,55.74,62.26,13.76
Chlidonias leucopterus,Laridae,Charadriiformes,30.0,3.8,5.7,18.7,208.2,61.4,75.4,54.2,Wetland,Carnivore,Aquatic predator,Aerial,3.0,10229425.04,29.41,70.0,83.1,51.26
Chlidonias niger,Laridae,Charadriiformes,31.1,3.5,5.4,15.8,201.7,62.1,77.8,65.3,Wetland,Carnivore,Aquatic predator,Aerial,3.0,12943719.56,35.73,63.05,-10.11,50.61
Creagrus furcatus,Laridae,Charadriiformes,62.2,6.2,12.9,51.5,409.0,59.6,183.5,687.0,Marine,Carnivore,Aquatic predator,Generalist,1.0,87375.37,-1.73,4.46,-89.87,0.17
Gelochelidon macrotarsa,Laridae,Charadriiformes,50.1,6.4,12.5,33.1,305.6,62.5,114.7,218.3,Coastal,Carnivore,Omnivore,Aerial,3.0,5664117.69,-39.14,-10.69,136.67,-26.37
Gelochelidon nilotica,Laridae,Charadriiformes,42.1,6.2,10.8,31.5,308.1,67.0,123.5,218.3,Coastal,Carnivore,Omnivore,Aerial,3.0,7524091.88,-39.99,55.34,42.77,34.09
Gygis alba,Laridae,Charadriiformes,49.7,4.3,7.1,13.8,251.8,67.2,103.8,117.0,Marine,Carnivore,Aquatic predator,Aerial,2.0,1087691.59,-30.76,28.67,-7.04,-5.58
Hydrocoloeus minutus,Laridae,Charadriiformes,26.6,3.0,5.3,25.9,218.9,57.9,88.8,118.0,Coastal,Carnivore,Aquatic predator,Generalist,2.0,8322361.57,41.38,69.5,70.99,57.28
Hydroprogne caspia,Laridae,Charadriiformes,78.7,10.4,19.2,42.6,410.7,65.1,148.7,655.0,Wetland,Carnivore,Aquatic predator,Aerial,3.0,6293644.91,-46.99,65.99,76.67,7.58
Larosterna inca,Laridae,Charadriiformes,48.8,4.8,10.1,23.4,277.2,59.3,132.8,219.0,Marine,Carnivore,Aquatic predator,Aerial,2.0,476735.99,-35.04,-5.94,-74.69,-19.15
Larus argentatus,Laridae,Charadriiformes,74.0,8.9,19.6,63.2,430.8,53.4,170.2,1091.0,Coastal,Carnivore,Aquatic predator,Generalist,2.0,1540126.95,44.17,71.19,23.88,62.73
Larus armenicus,Laridae,Charadriiformes,63.4,8.2,17.0,66.1,430.2,54.5,160.8,867.0,Wetland,Carnivore,Aquatic predator,Generalist,3.0,92321.08,33.99,41.78,42.99,38.53
Larus atlanticus,Laridae,Charadriiformes,54.1,7.8,17.0,53.6,391.5,53.8,141.0,842.4,Coastal,Carnivore,Aquatic predator,Aerial,2.0,50264.27,-45.19,-38.48,-63.66,-41.31
