Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude
Accipiter minullus,Accipitridae,Accipitriformes,16.5,6.6,8.8,41.3,150.4,29.6,105.2,87.4,Forest,Carnivore,Vertivore,Generalist,1.0,6794381.58,-34.84,17.8,29.57,-9.71
Accipiter nanus,Accipitridae,Accipitriformes,17.6,7.6,10.1,46.6,152.4,29.5,109.0,117.0,Forest,Carnivore,Invertivore,Insessorial,1.0,110477.0,-5.7,1.76,121.34,-1.08
Accipiter nisus,Accipitridae,Accipitriformes,19.6,8.4,10.0,53.6,207.4,35.5,155.5,220.8,Forest,Carnivore,Vertivore,Insessorial,2.0,23601609.31,26.9,70.53,77.29,54.67
Accipiter novaehollandiae,Accipitridae,Accipitriformes,31.6,11.5,16.5,69.0,261.9,28.9,183.6,326.1,Forest,Carnivore,Vertivore,Insessorial,1.0,1807067.3,-43.64,-10.51,143.49,-26.72
Accipiter ovampensis,Accipitridae,Accipitriformes,20.5,7.5,10.3,49.4,222.4,38.4,155.0,195.0,Shrubland,Carnivore,Vertivore,Aerial,1.0,7295779.86,-27.22,13.92,23.37,-8.53
Accipiter poliocephalus,Accipitridae,Accipitriformes,25.0,10.1,13.7,60.3,210.5,32.1,157.2,214.8,Forest,Carnivore,Vertivore,Insessorial,1.0,671500.51,-11.66,0.04,140.74,-5.32
Accipiter poliogaster,Accipitridae,Accipitriformes,27.7,8.0,13.2,52.4,240.4,29.6,174.6,315.0,Forest,Carnivore,Vertivore,Insessorial,2.0,7203530.62,-30.38,6.82,-60.09,-7.81
Accipiter princeps,Accipitridae,Accipitriformes,33.6,13.8,17.8,68.0,266.3,29.2,192.3,214.8,Forest,Carnivore,Vertivore,Insessorial,1.0,11549.62,-6.11,-4.23,151.04,-5.35
Accipiter rhodogaster,Accipitridae,Accipitriformes,20.5,7.9,10.8,53.4,172.6,29.7,125.8,172.7,Forest,Carnivore,Vertivore,Insessorial,1.0,146036.85,-5.7,1.76,121.39,-1.93
Accipiter rufitorques,Accipitridae,Accipitriformes,26.0,10.3,13.7,59.2,217.6,34.1,146.0,209.0,Forest,Carnivore,Vertivore,Generalist,1.0,17581.12,-19.2,-16.15,169.39,-17.45
Accipiter rufiventris,Accipitridae,Accipitriformes,20.3,7.8,10.0,54.2,218.6,38.1,165.8,198.0,Forest,Carnivore,Vertivore,Aerial,1.0,756057.21,-34.04,15.67,32.6,-7.01
Accipiter soloensis,Accipitridae,Accipitriformes,25.6,8.6,9.7,39.5,187.8,39.0,123.4,164.8,Forest,Carnivore,Vertivore,Insessorial,3.0,2375886.74,20.24,47.24,117.13,31.97
Accipiter striatus,Accipitridae,Accipitriformes,18.3,7.3,9.4,49.9,181.6,30.7,134.3,130.6,Forest,Carnivore,Vertivore,Aerial,3.0,16375303.87,-34.98,69.38,-96.11,34.35
Accipiter superciliosus,Accipitridae,Accipitriformes,19.4,6.7,10.4,37.4,146.4,26.9,104.6,96.4,Forest,Carnivore,Vertivore,Aerial,1.0,8560355.56,-28.11,14.61,-60.98,-6.22
Accipiter sylvestris,Accipitridae,Accipitriformes,26.0,9.2,13.1,54.5,206.4,32.0,146.9,326.1,Forest,Carnivore,Vertivore,Insessorial,1.0,34582.63,-9.11,-8.07,120.12,-8.57
Accipiter tachiro,Accipitridae,Accipitriformes,18.0,9.1,12.4,65.7,217.4,25.7,175.0,290.2,Forest,Carnivore,Vertivore,Aerial,1.0,5174215.21,-34.84,4.53,29.9,-12.54
Accipiter toussenelii,Accipitridae,Accipitriformes,24.4,9.2,11.9,62.1,189.0,24.4,157.2,249.3,Forest,Carnivore,Vertivore,Insessorial,1.0,4598131.33,-6.06,17.41,15.99,3.51
Accipiter trinotatus,Accipitridae,Accipitriformes,20.4,8.6,11.2,48.2,162.9,27.2,128.8,146.0,Forest,Carnivore,Vertivore,Insessorial,1.0,120238.86,-5.66,1.76,121.37,-1.81
Accipiter trivirgatus,Accipitridae,Accipitriformes,31.7,10.5,14.1,56.9,216.2,23.0,171.9,265.0,Forest,Carnivore,Vertivore,Insessorial,1.0,3366430.69,-8.85,31.08,101.71,13.91
Accipiter virgatus,Accipitridae,Accipitriformes,21.2,7.6,10.2,49.8,167.7,27.4,123.9,117.0,Forest,Carnivore,Vertivore,Generalist,2.0,4398429.71,-8.98,35.61,101.25,22.08
Aegypius monachus,Accipitridae,Accipitriformes,87.8,27.9,39.8,134.2,734.2,41.1,371.0,9320.6,Forest,Scavenger,Scavenger,Terrestrial,1.0,7718571.19,25.27,54.37,87.87,41.63
Aquila adalberti,Accipitridae,Accipitriformes,61.2,21.1,31.0,98.4,592.5,39.7,297.0,2958.0,Woodland,Carnivore,Vertivore,Generalist,2.0,131221.76,36.28,41.56,-5.23,39.06
Aquila africana,Accipitridae,Accipitriformes,39.4,12.8,20.4,76.6,342.2,27.4,277.8,1047.0,Woodland,Carnivore,Vertivore,Generalist,2.0,1918245.9,-8.47,9.95,13.68,1.97
Aquila audax,Accipitridae,Accipitriformes,60.5,19.6,31.2,104.0,617.7,39.6,387.0,3449.9,Woodland,Carnivore,Vertivore,Generalist,2.0,7679648.03,-43.64,-8.78,134.48,-25.74
Aquila chrysaetos,Accipitridae,Accipitriformes,56.8,18.5,28.4,101.4,603.1,36.7,307.1,4248.0,Grassland,Carnivore,Vertivore,Aerial,2.0,39450257.98,6.36,71.12,38.05,50.67
Aquila fasciata,Accipitridae,Accipitriformes,45.7,16.2,23.7,93.2,486.8,37.3,260.0,1936.5,Rock,Carnivore,Vertivore,Aerial,2.0,5630034.84,-10.37,45.24,62.08,27.52
Aquila gurneyi,Accipitridae,Accipitriformes,55.4,16.6,21.9,99.4,544.5,33.8,365.5,3060.0,Forest,Carnivore,Vertivore,Aerial,1.0,601810.35,-10.73,2.65,140.46,-5.05
Aquila heliaca,Accipitridae,Accipitriformes,59.0,19.8,28.4,93.7,582.2,39.5,316.2,3125.2,Woodland,Carnivore,Vertivore,Generalist,3.0,9556213.62,35.35,59.75,70.89,49.87
Aquila nipalensis,Accipitridae,Accipitriformes,54.1,17.7,25.2,95.1,559.6,40.5,271.4,2714.3,Grassland,Carnivore,Vertivore,Aerial,3.0,6933240.92,31.2,53.52,85.14,43.73
Aquila rapax,Accipitridae,Accipitriformes,54.0,16.8,24.3,84.3,506.6,38.7,242.4,2236.1,Shrubland,Carnivore,Vertivore,Generalist,3.0,17572054.36,-34.31,36.93,30.52,3.92
Aquila spilogaster,Accipitridae,Accipitriformes,44.0,14.4,22.6,91.1,427.6,35.2,254.8,1466.2,Grassland,Carnivore,Vertivore,Generalist,1.0,12423292.01,-29.06,17.46,24.33,-2.84
Aquila verreauxii,Accipitridae,Accipitriformes,58.2,18.3,27.6,117.4,590.2,34.0,403.5,4195.0,Rock,Carnivore,Vertivore,Aerial,1.0,4020161.71,-34.84,30.44,29.12,-9.59
Aviceda cuculoides,Accipitridae,Accipitriformes,25.5,10.6,13.9,33.0,264.6,42.4,154.2,277.0,Forest,Carnivore,Vertivore,Insessorial,1.0,10593852.38,-34.21,14.08,21.08,-3.74
Aviceda jerdoni,Accipitridae,Accipitriformes,45.5,12.9,15.9,34.7,302.8,25.6,211.0,363.0,Forest,Carnivore,Omnivore,Insessorial,1.0,1592906.95,-5.95,28.63,107.44,6.17
Aviceda leuphotes,Accipitridae,Accipitriformes,24.6,10.2,12.5,25.0,230.6,35.3,124.0,194.0,Forest,Carnivore,Invertivore,Insessorial,3.0,3528791.57,8.56,33.35,103.96,23.21
Aviceda madagascariensis,Accipitridae,Accipitriformes,28.6,11.6,16.2,38.7,314.2,33.8,169.2,277.0,Forest,Carnivore,Vertivore,Insessorial,1.0,340717.9,-25.09,-11.95,47.27,-18.1
Aviceda subcristata,Accipitridae,Accipitriformes,28.3,11.6,14.7,36.3,336.6,40.2,202.0,322.7,Forest,Carnivore,Omnivore,Insessorial,1.0,1718124.83,-34.97,2.65,141.78,-12.44
Busarellus nigricollis,Accipitridae,Accipitriformes,40.8,12.5,17.6,76.1,393.5,27.0,199.8,766.1,Forest,Carnivore,Aquatic predator,Insessorial,1.0,12825637.87,-34.19,23.94,-59.48,-7.16
Butastur indicus,Accipitridae,Accipitriformes,40.5,10.4,14.5,53.4,327.6,46.9,191.8,414.6,Woodland,Carnivore,Vertivore,Insessorial,3.0,1828306.34,30.99,52.35,129.81,44.31
