Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude,bio_1,bio_4,bio_5,bio_6,bio_12
Accipiter melanochlamys,Accipitridae,Accipitriformes,25.9,11.0,13.9,62.7,228.6,32.4,164.8,265.0,Forest,Carnivore,Vertivore,Generalist,1.0,115449.94,-10.07,-0.95,141.87,-5.31,14.052812576293945,33.85768127441406,19.468250274658203,8.538249969482422,4450.0
Accipiter melanoleucus,Accipitridae,Accipitriformes,29.6,10.3,16.3,75.8,302.8,35.0,219.4,699.0,Forest,Carnivore,Vertivore,Generalist,1.0,9067092.6,-34.84,18.84,25.85,-5.51,24.427509307861328,42.19321060180664,31.517749786376953,16.60474967956543,1255.0
Accipiter meyerianus,Accipitridae,Accipitriformes,35.0,12.6,18.6,75.4,309.5,33.0,200.0,763.5,Forest,Carnivore,Vertivore,Generalist,1.0,269144.41,-10.12,2.29,141.36,-4.7,22.121936798095703,33.743560791015625,27.099750518798828,17.341999053955078,3880.0
Accipiter minullus,Accipitridae,Accipitriformes,16.5,6.6,8.8,41.3,150.4,29.6,105.2,87.4,Forest,Carnivore,Vertivore,Generalist,1.0,6794381.58,-34.84,17.8,29.57,-9.71,21.82062530517578,164.6537628173828,30.888999938964844,11.398750305175781,1307.0
Accipiter nanus,Accipitridae,Accipitriformes,17.6,7.6,10.1,46.6,152.4,29.5,109.0,117.0,Forest,Carnivore,Invertivore,Insessorial,1.0,110477.0,-5.7,1.76,121.34,-1.08,25.321544647216797,32.01641082763672,30.342857360839844,20.481792449951172,2073.0
Accipiter nisus,Accipitridae,Accipitriformes,19.6,8.4,10.0,53.6,207.4,35.5,155.5,220.8,Forest,Carnivore,Vertivore,Insessorial,2.0,23601609.31,26.9,70.53,77.29,54.67,1.2192394733428955,1410.5369873046875,25.93524932861328,-21.492250442504883,314.0
Accipiter novaehollandiae,Accipitridae,Accipitriformes,31.6,11.5,16.5,69.0,261.9,28.9,183.6,326.1,Forest,Carnivore,Vertivore,Insessorial,1.0,1807067.3,-43.64,-10.51,143.49,-26.72,22.634624481201172,642.7861328125,37.80550003051758,6.1817498207092285,320.0
Accipiter ovampensis,Accipitridae,Accipitriformes,20.5,7.5,10.3,49.4,222.4,38.4,155.0,195.0,Shrubland,Carnivore,Vertivore,Aerial,1.0,7295779.86,-27.22,13.92,23.37,-8.53,22.548322677612305,51.500640869140625,30.429500579833984,13.574749946594238,1483.0
Accipiter poliocephalus,Accipitridae,Accipitriformes,25.0,10.1,13.7,60.3,210.5,32.1,157.2,214.8,Forest,Carnivore,Vertivore,Insessorial,1.0,671500.51,-11.66,0.04,140.74,-5.32,25.067249298095703,71.39144897460938,30.486499786376953,19.667999267578125,4746.0
Accipiter poliogaster,Accipitridae,Accipitriformes,27.7,8.0,13.2,52.4,240.4,29.6,174.6,315.0,Forest,Carnivore,Vertivore,Insessorial,2.0,7203530.62,-30.38,6.82,-60.09,-7.81,26.198312759399414,33.64821243286133,33.580997467041016,18.82849884033203,2158.0
