Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude,bio_1,bio_4,bio_5,bio_6,bio_12
Pternistis rufopictus,Phasianidae,Galliformes,33.2,11.7,11.7,58.4,201.8,19.1,76.5,706.1,Shrubland,Herbivore,Herbivore terrestrial,Terrestrial,1.0,77700.06,-4.71,-1.45,34.24,-3.07,21.804927825927734,87.94921112060547,30.145999908447266,13.4037504196167,786.0
Pternistis squamatus,Phasianidae,Galliformes,26.2,8.8,10.3,47.0,176.8,16.0,86.6,449.5,Forest,Herbivore,Herbivore terrestrial,Terrestrial,1.0,2593426.1,-12.35,12.65,24.44,2.11,24.352365493774414,40.12211990356445,30.71150016784668,18.703750610351562,1682.0
Pternistis swainsonii,Phasianidae,Galliformes,30.6,10.9,11.3,52.8,186.5,21.4,73.5,597.1,Grassland,Herbivore,Omnivore,Terrestrial,1.0,1549732.16,-29.5,-10.6,26.28,-20.72,23.616979598999023,370.1719055175781,35.97200012207031,8.33275032043457,367.0
Pternistis swierstrai,Phasianidae,Galliformes,27.9,9.0,11.8,50.0,179.0,19.6,88.0,460.3,Forest,Herbivore,Omnivore,Terrestrial,1.0,18471.0,-15.46,-10.62,14.75,-13.09,20.15836524963379,119.19478607177734,28.320499420166016,10.58650016784668,1211.0
Pucrasia macrolopha,Phasianidae,Galliformes,29.7,9.5,11.0,60.9,222.0,28.8,190.4,1050.5,Forest,Herbivore,Omnivore,Terrestrial,1.0,1384088.5,23.54,42.02,106.55,31.24,16.830354690551758,767.2846069335938,31.425251007080078,3.134500026702881,1111.0
Rheinardia ocellata,Phasianidae,Galliformes,40.1,8.7,11.3,84.7,335.6,11.5,812.8,1500.0,Forest,Omnivore,Omnivore,Terrestrial,1.0,54321.45,4.47,18.9,107.06,15.43,20.976625442504883,180.54696655273438,27.363250732421875,13.196999549865723,2915.0
Rhizothera dulitensis,Phasianidae,Galliformes,36.1,11.8,12.0,54.7,179.2,21.8,69.4,746.7,Forest,Herbivore,Omnivore,Terrestrial,1.0,1884.63,3.13,6.35,116.04,5.36,23.097448348999023,39.18837356567383,27.577999114990234,19.04050064086914,2000.0
Scleroptila afra,Phasianidae,Galliformes,30.0,10.1,10.6,38.7,158.2,31.4,69.2,389.7,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,1.0,437877.43,-34.84,-24.72,24.59,-31.45,14.065937042236328,586.0602416992188,29.72949981689453,-3.159749984741211,363.0
Scleroptila elgonensis,Phasianidae,Galliformes,30.4,10.8,9.9,45.6,172.1,19.6,77.1,478.3,Shrubland,Herbivore,Herbivore terrestrial,Terrestrial,1.0,18206.28,-1.12,1.42,36.14,-0.22,16.846323013305664,70.72306060791016,26.326749801635742,8.646249771118164,888.0
Scleroptila finschi,Phasianidae,Galliformes,30.6,11.4,10.6,41.2,162.5,27.8,65.5,569.2,Woodland,Omnivore,Invertivore,Terrestrial,1.0,304435.85,-14.06,-1.58,16.55,-7.78,23.794708251953125,112.5936050415039,31.017000198364258,13.069499969482422,1253.0
Scleroptila gutturalis,Phasianidae,Galliformes,30.2,10.4,9.8,39.2,161.2,36.2,69.8,376.7,Grassland,Herbivore,Omnivore,Terrestrial,1.0,1483139.56,-31.01,16.69,27.11,-12.99,19.839603424072266,232.86184692382812,32.3182487487793,5.572249889373779,1168.0
Scleroptila levaillantii,Phasianidae,Galliformes,35.0,11.6,10.8,41.7,162.4,26.8,65.8,430.9,Grassland,Omnivore,Herbivore terrestrial,Terrestrial,1.0,832216.06,-34.47,1.84,28.3,-17.98,22.520259857177734,306.1093444824219,34.31425094604492,9.085249900817871,685.0
Scleroptila psilolaema,Phasianidae,Galliformes,30.0,10.3,9.8,40.5,162.4,27.6,70.4,478.3,Shrubland,Herbivore,Herbivore terrestrial,Terrestrial,1.0,47075.9,6.23,11.55,39.51,8.27,16.53097915649414,51.78136444091797,24.76650047302246,7.914249897003174,1090.0
Scleroptila shelleyi,Phasianidae,Galliformes,34.3,11.4,11.3,39.2,165.6,29.4,73.4,488.0,Woodland,Herbivore,Omnivore,Terrestrial,1.0,1271472.68,-31.11,0.94,30.62,-16.17,23.20520782470703,313.0770568847656,34.028499603271484,9.399999618530273,725.0
Scleroptila streptophora,Phasianidae,Galliformes,26.6,8.5,9.2,35.6,146.5,27.2,63.0,385.0,Grassland,Omnivore,Omnivore,Terrestrial,1.0,216468.87,-5.12,5.96,31.47,0.17,21.511417388916016,53.127052307128906,28.048749923706055,15.287249565124512,895.0
Scleroptila whytei,Phasianidae,Galliformes,32.3,11.8,11.4,38.3,163.8,27.7,66.8,488.0,Woodland,Herbivore,Omnivore,Terrestrial,1.0,42230.12,-11.15,-6.46,31.68,-9.38,21.089218139648438,134.13072204589844,30.464750289916992,11.690750122070312,1099.0
Synoicus adansonii,Phasianidae,Galliformes,11.2,3.5,3.9,17.4,74.5,27.5,33.0,40.4,Grassland,Herbivore,Omnivore,Terrestrial,1.0,5998351.89,-31.91,11.38,22.5,-5.59,24.19587516784668,37.90052795410156,30.451000213623047,18.195249557495117,1538.0
Synoicus ypsilophorus,Phasianidae,Galliformes,15.6,5.8,6.2,23.2,98.0,33.5,37.6,107.7,Grassland,Herbivore,Granivore,Terrestrial,1.0,5709134.88,-43.64,-1.47,137.98,-22.14,24.541093826293945,592.3486938476562,39.27799987792969,6.736999988555908,278.0
Syrmaticus ellioti,Phasianidae,Galliformes,32.4,9.9,10.5,63.5,224.0,30.0,297.7,1007.5,Woodland,Herbivore,Omnivore,Terrestrial,1.0,470213.06,24.31,31.31,114.6,27.21,17.6899471282959,826.6639404296875,33.12274932861328,2.181999921798706,1512.0
Syrmaticus humiae,Phasianidae,Galliformes,33.9,10.5,11.0,59.1,212.4,29.7,378.6,873.4,Forest,Herbivore,Omnivore,Terrestrial,1.0,405564.05,19.14,27.45,99.86,23.67,16.27009391784668,393.2596435546875,25.160749435424805,2.3424999713897705,1242.0
Syrmaticus mikado,Phasianidae,Galliformes,34.4,10.7,9.3,64.6,218.8,23.7,337.8,1148.7,Forest,Herbivore,Omnivore,Terrestrial,1.0,13765.19,22.33,24.85,121.13,23.76,15.267593383789062,343.70257568359375,22.290250778198242,6.584750175476074,2469.0
Syrmaticus reevesii,Phasianidae,Galliformes,35.3,11.4,12.3,69.6,248.2,20.6,739.0,1204.6,Woodland,Herbivore,Granivore,Terrestrial,1.0,531855.88,26.62,35.29,107.63,30.57,17.002281188964844,766.7239379882812,32.06575012207031,3.3550000190734863,1253.0
Syrmaticus soemmerringii,Phasianidae,Galliformes,29.4,9.6,9.9,58.6,215.4,29.8,661.9,1081.7,Forest,Omnivore,Omnivore,Terrestrial,1.0,174734.06,30.99,40.54,135.81,35.32,11.40566635131836,860.2073364257812,27.872499465942383,-3.3102500438690186,1873.0
Tetrao urogalloides,Phasianidae,Galliformes,46.5,15.7,17.4,60.0,341.2,37.9,261.2,2752.3,Forest,Herbivore,Herbivore terrestrial,Generalist,1.0,7003788.43,45.4,70.38,128.96,59.89,-9.460697174072266,2019.81494140625,24.405000686645508,-42.19974899291992,337.0
Tetrao urogallus,Phasianidae,Galliformes,48.8,18.2,20.4,61.9,347.3,33.2,257.2,2716.6,Forest,Herbivore,Herbivore terrestrial,Generalist,1.0,11330230.84,40.12,71.01,69.35,59.49,-0.155052050948143,1320.6314697265625,23.682249069213867,-22.601499557495117,506.0
Tetraogallus altaicus,Phasianidae,Galliformes,38.4,16.7,18.2,63.3,284.6,41.7,164.2,2760.4,Grassland,Herbivore,Omnivore,Terrestrial,1.0,819469.26,41.53,53.8,93.45,49.04,0.0539584718644619,1653.9537353515625,24.54450035095215,-31.980749130249023,122.0
Tetraogallus caspius,Phasianidae,Galliformes,38.3,15.3,16.3,58.2,283.6,39.7,171.6,2508.2,Rock,Herbivore,Herbivore terrestrial,Terrestrial,1.0,313937.42,30.08,42.0,45.73,37.5,12.354281425476074,923.4363403320312,30.216249465942383,-3.8259999752044678,311.0
Tetraogallus caucasicus,Phasianidae,Galliformes,33.2,14.7,15.7,55.7,257.2,40.5,163.0,1830.8,Rock,Herbivore,Herbivore terrestrial,Terrestrial,1.0,23392.94,41.01,43.97,44.13,42.7,0.4985937178134918,740.7233276367188,14.840250015258789,-12.429750442504883,1025.0
Tetraogallus himalayensis,Phasianidae,Galliformes,37.7,16.9,17.4,66.5,279.8,39.5,153.0,2428.0,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,1.0,1911759.79,27.79,48.63,79.51,38.18,12.53443717956543,1237.68310546875,35.079750061035156,-13.430999755859375,31.0
Tetraogallus tibetanus,Phasianidae,Galliformes,33.3,14.7,15.5,55.9,262.8,43.2,146.2,1488.9,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,1.0,1066992.69,27.6,39.53,89.36,33.54,-4.94755220413208,882.2108764648438,12.306750297546387,-24.22224998474121,303.0
Tetraophasis obscurus,Phasianidae,Galliformes,34.0,14.9,12.6,52.1,206.2,38.0,146.2,855.4,Forest,Herbivore,Herbivore terrestrial,Terrestrial,1.0,118338.72,30.49,38.24,103.08,34.13,3.2196147441864014,741.2498779296875,18.23550033569336,-15.309499740600586,638.0
Tetraophasis szechenyii,Phasianidae,Galliformes,37.0,15.0,12.9,54.5,220.5,23.2,150.0,1053.0,Forest,Herbivore,Herbivore terrestrial,Terrestrial,1.0,524228.72,25.58,33.68,97.98,30.15,1.2987291812896729,620.6197509765625,14.09274959564209,-15.31974983215332,603.0
Tragopan blythii,Phasianidae,Galliformes,30.0,9.9,10.8,74.4,250.4,16.2,187.8,1930.0,Woodland,Herbivore,Omnivore,Generalist,1.0,48259.37,21.01,28.4,94.91,25.58,18.02559471130371,407.93426513671875,25.558000564575195,5.088250160217285,2084.0
Tragopan caboti,Phasianidae,Galliformes,28.2,9.4,9.8,66.0,214.5,15.9,168.8,1122.5,Woodland,Herbivore,Omnivore,Generalist,1.0,396418.35,22.92,29.97,115.23,25.73,18.00112533569336,732.9592895507812,31.65475082397461,3.3569998741149902,1576.0
Tragopan melanocephalus,Phasianidae,Galliformes,30.4,10.5,11.8,72.4,264.8,21.8,213.4,1613.2,Forest,Herbivore,Herbivore terrestrial,Generalist,1.0,21593.78,30.29,35.63,76.77,32.63,-0.41575002670288086,808.2279052734375,13.998000144958496,-17.063749313354492,589.0
Tragopan satyra,Phasianidae,Galliformes,31.2,9.2,9.8,75.9,249.8,22.2,219.6,1417.0,Forest,Herbivore,Herbivore terrestrial,Generalist,1.0,99176.64,27.05,31.47,85.1,28.59,0.020687544718384743,525.0870971679688,11.167750358581543,-14.071999549865723,425.0
Tragopan temminckii,Phasianidae,Galliformes,26.6,10.1,10.6,71.4,236.8,19.1,192.2,1163.4,Forest,Herbivore,Herbivore terrestrial,Generalist,1.0,1261852.14,21.27,33.6,104.15,28.33,14.385218620300293,698.0008544921875,27.293750762939453,0.718500018119812,985.0
Tympanuchus cupido,Phasianidae,Galliformes,23.5,8.7,9.0,41.8,204.8,42.7,82.0,870.1,Grassland,Herbivore,Granivore,Terrestrial,1.0,402889.24,28.74,47.96,-98.5,41.99,9.139239311218262,1086.4744873046875,30.610750198364258,-12.817999839782715,620.0
Tympanuchus pallidicinctus,Phasianidae,Galliformes,24.7,9.6,10.0,40.9,205.0,39.0,138.0,745.8,Grassland,Omnivore,Invertivore,Terrestrial,1.0,63286.57,32.23,39.2,-101.05,36.61,13.866042137145996,941.8641357421875,34.93899917602539,-6.832499980926514,476.0
Tympanuchus phasianellus,Phasianidae,Galliformes,22.3,8.4,9.2,40.0,200.6,39.6,103.2,882.4,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,1.0,6080574.6,37.29,69.17,-113.89,55.49,0.7995937466621399,1140.4346923828125,20.551250457763672,-22.12299919128418,515.0
Xenoperdix udzungwensis,Phasianidae,Galliformes,21.0,5.8,6.7,37.5,143.8,25.7,67.9,224.9,Forest,Carnivore,Invertivore,Terrestrial,1.0,572.8,-7.99,-6.52,36.11,-7.6,19.98702049255371,142.40625,27.70050048828125,12.302249908447266,773.0
Gavia adamsii,Gaviidae,Gaviiformes,104.8,10.4,24.1,84.6,371.4,51.0,60.8,4944.3,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,4030133.52,61.08,77.73,20.13,69.55,1.4944638013839722,712.4473876953125,16.1175479888916,-10.345403671264648,715.0
Gavia arctica,Gaviidae,Gaviiformes,71.0,8.5,14.2,72.8,285.8,50.8,45.0,2251.1,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,18911193.89,41.19,81.17,90.85,61.61,-4.26185417175293,1514.24365234375,24.1612491607666,-29.894500732421875,579.0
Gavia immer,Gaviidae,Gaviiformes,97.0,10.5,23.0,86.1,365.2,49.3,59.0,4956.8,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,9453280.12,41.9,80.83,-101.26,58.02,-4.828104019165039,1527.13330078125,21.004249572753906,-31.471750259399414,449.0
Gavia pacifica,Gaviidae,Gaviiformes,71.9,8.3,12.9,72.8,291.2,47.9,48.4,2251.1,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,5397186.87,51.22,74.56,-99.42,65.34,-12.427427291870117,1631.1910400390625,16.517499923706055,-36.34349822998047,210.0
Gavia stellata,Gaviidae,Gaviiformes,63.1,7.5,12.2,66.1,275.4,47.6,45.6,1486.0,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,16657775.71,43.46,83.11,30.64,65.76,-0.2206563800573349,1020.7867431640625,20.008249282836914,-18.350000381469727,555.0
Aramus guarauna,Aramidae,Gruiformes,130.4,8.8,13.4,84.6,241.2,11.1,225.8,1080.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,12182050.36,-39.32,31.24,-58.48,-10.49,25.385135650634766,48.323631286621094,33.93400192260742,16.276750564575195,1998.0
Anthropoides paradiseus,Gruidae,Gruiformes,101.1,15.7,18.1,249.5,556.2,38.6,231.5,4540.6,Grassland,Omnivore,Omnivore,Terrestrial,1.0,616090.89,-34.84,-18.12,25.92,-29.68,15.527739524841309,570.9105224609375,30.819499969482422,-2.668750047683716,456.0
Anthropoides virgo,Gruidae,Gruiformes,69.9,10.5,12.2,181.2,484.8,45.5,174.8,2417.0,Grassland,Omnivore,Omnivore,Terrestrial,3.0,8896222.51,36.78,57.46,82.56,46.99,5.33007287979126,1259.0557861328125,29.420000076293945,-17.231250762939453,271.0
Antigone canadensis,Gruidae,Gruiformes,122.9,10.2,15.9,216.2,477.8,43.8,175.4,4296.2,Wetland,Omnivore,Omnivore,Terrestrial,3.0,8593771.09,21.44,75.64,-103.96,60.34,-6.526072978973389,1549.5731201171875,20.236000061035156,-32.298500061035156,387.0
Antigone rubicunda,Gruidae,Gruiformes,162.2,13.8,22.8,280.2,572.5,40.7,223.8,6222.8,Wetland,Herbivore,Omnivore,Terrestrial,2.0,3559865.45,-38.86,-6.3,140.32,-22.19,24.37224006652832,566.5179443359375,37.95100021362305,7.7522501945495605,290.0
Antigone vipio,Gruidae,Gruiformes,152.2,11.6,20.8,250.2,538.2,42.5,193.2,4663.0,Wetland,Herbivore,Omnivore,Terrestrial,3.0,748047.17,43.88,51.68,121.5,48.27,-0.4422500729560852,1372.93212890625,23.030500411987305,-24.930999755859375,464.0
Balearica pavonina,Gruidae,Gruiformes,65.4,14.5,17.6,201.0,543.4,35.6,258.2,3590.0,Wetland,Omnivore,Omnivore,Terrestrial,1.0,2976931.85,3.55,17.06,23.81,10.72,26.62317657470703,223.8973388671875,39.06425094604492,12.89050006866455,672.0
Balearica regulorum,Gruidae,Gruiformes,66.2,16.1,18.9,223.0,569.0,38.0,243.0,3772.0,Wetland,Omnivore,Omnivore,Terrestrial,1.0,3528882.19,-33.78,2.3,30.01,-12.26,20.843177795410156,210.0708770751953,31.815250396728516,8.666999816894531,1152.0
Bugeranus carunculatus,Gruidae,Gruiformes,169.2,14.4,24.6,318.0,624.2,39.8,234.8,8159.0,Wetland,Omnivore,Omnivore,Terrestrial,1.0,2289042.19,-32.36,11.74,26.6,-13.53,20.119937896728516,240.0728302001953,31.733749389648438,6.15749979019165,1058.0
Grus americana,Gruidae,Gruiformes,148.8,13.1,22.0,288.8,605.8,42.7,208.8,5826.0,Wetland,Carnivore,Omnivore,Terrestrial,3.0,6122.49,27.41,60.56,-107.66,53.37,1.1365208625793457,1256.195068359375,23.47224998474121,-23.32349967956543,452.0
Grus grus,Gruidae,Gruiformes,108.1,10.7,16.8,234.4,540.6,43.0,193.4,5500.0,Wetland,Herbivore,Omnivore,Terrestrial,3.0,15456101.32,36.52,69.77,74.47,56.97,0.4683018922805786,1344.5711669921875,24.079750061035156,-22.64550018310547,439.0
Grus japonensis,Gruidae,Gruiformes,161.0,11.6,20.8,283.5,616.0,41.1,244.5,8786.0,Wetland,Omnivore,Omnivore,Terrestrial,3.0,738171.22,39.59,51.92,128.14,48.03,0.08438532799482346,1545.481201171875,25.047500610351562,-29.964750289916992,608.0
Grus monacha,Gruidae,Gruiformes,105.3,9.9,15.8,211.2,494.8,43.5,166.0,3729.9,Wetland,Herbivore,Omnivore,Terrestrial,3.0,1609599.6,45.42,61.55,123.24,54.86,-6.7240519523620605,1656.8743896484375,23.05299949645996,-34.550498962402344,528.0
Grus nigricollis,Gruidae,Gruiformes,124.4,11.7,19.2,239.8,579.2,40.6,217.0,6000.0,Wetland,Omnivore,Omnivore,Terrestrial,3.0,822333.13,27.86,38.87,89.59,33.39,-4.837104320526123,875.5641479492188,12.131999969482422,-23.958499908447266,319.0
Leucogeranus leucogeranus,Gruidae,Gruiformes,194.5,11.8,23.6,274.2,579.2,44.2,198.5,5913.4,Wetland,Omnivore,Omnivore,Terrestrial,3.0,140691.61,59.7,71.8,143.6,69.84,-13.772802352905273,1840.816162109375,15.965250015258789,-39.8697509765625,210.0
Heliopais personatus,Heliornithidae,Gruiformes,52.8,6.6,12.2,47.6,239.5,40.0,108.2,510.0,Wetland,Carnivore,Aquatic predator,Aquatic,1.0,272422.63,12.51,27.83,96.8,19.5,21.461917877197266,253.10983276367188,31.37649917602539,9.735250473022461,1264.0
Heliornis fulica,Heliornithidae,Gruiformes,32.4,4.4,6.9,21.6,141.5,36.2,81.8,132.0,Wetland,Carnivore,Aquatic predator,Aquatic,1.0,8812012.44,-27.05,23.84,-63.44,-4.37,26.565895080566406,28.48098373413086,31.996000289916992,21.54574966430664,2287.0
Podica senegalensis,Heliornithidae,Gruiformes,44.6,5.3,8.1,40.9,186.2,27.2,125.0,599.0,Wetland,Carnivore,Aquatic predator,Aquatic,1.0,11384786.12,-34.21,16.64,19.26,-0.82,25.403072357177734,60.275184631347656,31.33275032043457,19.995750427246094,1986.0
Psophia crepitans,Psophiidae,Gruiformes,41.8,7.2,12.1,133.6,275.2,9.6,117.4,1026.0,Forest,Herbivore,Frugivore,Terrestrial,1.0,2593241.63,-5.05,10.24,-63.54,1.5,26.596500396728516,41.872459411621094,32.30575180053711,21.22425079345703,2283.0
Psophia dextralis,Psophiidae,Gruiformes,34.4,9.3,13.4,120.8,282.4,3.3,113.7,1071.0,Forest,Herbivore,Frugivore,Terrestrial,1.0,1010341.61,-14.2,-1.24,-53.34,-7.49,25.334156036376953,34.72749710083008,33.69874954223633,18.068500518798828,2053.0
Psophia leucoptera,Psophiidae,Gruiformes,43.6,7.6,13.5,120.0,270.5,9.0,112.2,1315.6,Forest,Herbivore,Frugivore,Terrestrial,1.0,1532581.12,-18.01,-2.54,-68.78,-8.36,24.723186492919922,72.70346069335938,31.330249786376953,16.66724967956543,2223.0
Psophia obscura,Psophiidae,Gruiformes,34.3,9.7,13.7,118.4,287.2,5.2,116.5,1071.0,Forest,Herbivore,Frugivore,Terrestrial,1.0,228024.15,-5.49,-0.54,-47.23,-3.1,25.86798858642578,45.59275817871094,31.829999923706055,20.14900016784668,1925.0
Psophia ochroptera,Psophiidae,Gruiformes,37.5,8.1,13.0,124.2,281.4,4.8,120.1,1026.0,Forest,Herbivore,Frugivore,Terrestrial,1.0,171654.81,-4.02,-0.3,-63.48,-2.13,26.297239303588867,25.8283748626709,31.365249633789062,21.33049964904785,2698.0
Psophia viridis,Psophiidae,Gruiformes,42.6,5.8,12.6,116.5,286.8,6.0,117.4,1071.0,Forest,Herbivore,Frugivore,Terrestrial,1.0,699135.56,-14.93,-1.94,-60.59,-8.87,25.482999801635742,38.234764099121094,33.47999954223633,17.270999908447266,2219.0
Amaurolimnas concolor,Rallidae,Gruiformes,28.6,3.5,6.6,39.1,123.8,27.1,47.8,133.0,Forest,Carnivore,Omnivore,Terrestrial,1.0,1702915.03,-24.93,18.8,-68.11,-2.18,25.87206268310547,36.827491760253906,31.10099983215332,20.673500061035156,3241.0
Amaurornis isabellina,Rallidae,Gruiformes,35.8,5.5,9.8,65.0,167.2,22.0,63.0,180.0,Wetland,Omnivore,Omnivore,Terrestrial,1.0,55595.11,-5.7,1.76,122.31,-0.82,26.673093795776367,44.64771270751953,31.350000381469727,21.803192138671875,1549.0
Amaurornis magnirostris,Rallidae,Gruiformes,47.6,5.6,12.4,59.9,160.0,20.6,54.0,250.0,Forest,Omnivore,Omnivore,Terrestrial,1.0,842.43,3.99,4.55,126.79,4.28,25.976444244384766,37.772743225097656,30.618316650390625,21.590593338012695,3055.0
Amaurornis marginalis,Rallidae,Gruiformes,19.8,3.4,6.3,34.8,104.2,29.6,46.6,51.2,Grassland,Carnivore,Aquatic predator,Terrestrial,2.0,3857317.95,-24.87,13.27,29.21,-11.18,20.595979690551758,178.24266052246094,31.037750244140625,9.410749435424805,1261.0
Amaurornis olivacea,Rallidae,Gruiformes,35.4,5.4,9.8,60.2,150.2,23.6,53.2,292.0,Wetland,Carnivore,Omnivore,Terrestrial,1.0,271176.41,5.05,20.49,123.08,11.87,27.6235408782959,88.09077453613281,33.09000015258789,23.235000610351562,2218.0
Amaurornis phoenicurus,Rallidae,Gruiformes,37.1,4.4,8.8,50.8,147.0,23.2,57.6,180.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,9839893.66,-12.19,43.25,99.24,19.12,23.387874603271484,270.8541564941406,33.50175094604492,11.397749900817871,1137.0
Aramides albiventris,Rallidae,Gruiformes,51.3,5.3,11.1,63.0,178.7,11.6,62.8,514.0,Forest,Carnivore,Aquatic predator,Terrestrial,1.0,535083.31,8.51,23.12,-89.05,16.37,22.159313201904297,150.58863830566406,29.0,15.240249633789062,2863.0
Aramides cajaneus,Rallidae,Gruiformes,51.3,5.3,11.1,63.0,178.7,11.6,62.8,397.0,Forest,Carnivore,Aquatic predator,Terrestrial,1.0,13038120.14,-35.25,12.46,-57.58,-9.4,25.555625915527344,43.47488784790039,34.28575134277344,17.346250534057617,1977.0
Aramides calopterus,Rallidae,Gruiformes,47.0,5.3,10.2,64.7,154.2,10.8,46.8,320.5,Forest,Omnivore,Omnivore,Terrestrial,1.0,627494.85,-10.91,-0.13,-71.64,-5.61,25.75505256652832,43.63630676269531,31.181249618530273,19.7189998626709,2603.0
Aramides mangle,Rallidae,Gruiformes,40.3,4.5,9.6,53.5,160.2,27.2,55.5,183.0,Woodland,Carnivore,Aquatic predator,Terrestrial,1.0,774415.01,-25.46,-0.58,-39.74,-8.25,24.841489791870117,147.05506896972656,32.48125076293945,17.05500030517578,550.0
Aramides saracura,Rallidae,Gruiformes,59.3,11.6,16.0,71.6,182.0,11.7,65.9,540.0,Forest,Omnivore,Omnivore,Terrestrial,1.0,928675.91,-31.7,-17.57,-49.95,-25.2,16.90034294128418,291.3544616699219,26.075000762939453,6.739999771118164,1553.0
Aramides wolfi,Rallidae,Gruiformes,54.0,5.0,10.9,72.7,164.8,11.8,49.5,454.0,Woodland,Omnivore,Omnivore,Terrestrial,1.0,119660.54,-3.77,6.28,-78.58,1.29,24.908166885375977,31.12510871887207,29.907249450683594,20.34375,2909.0
Aramides ypecaha,Rallidae,Gruiformes,77.3,6.5,13.9,85.3,223.0,14.0,87.8,700.1,Forest,Omnivore,Omnivore,Terrestrial,1.0,3652694.26,-36.52,-6.86,-53.79,-21.04,23.1065616607666,212.2877197265625,30.402000427246094,13.234000205993652,1390.0
Aramidopsis plateni,Rallidae,Gruiformes,49.8,3.9,8.5,58.2,138.0,4.3,36.0,116.0,Woodland,Carnivore,Aquatic predator,Terrestrial,1.0,83126.44,-4.9,1.76,121.86,-1.27,23.57253074645996,46.414424896240234,28.499500274658203,18.631250381469727,1855.0
Canirallus oculeus,Rallidae,Gruiformes,40.9,4.3,9.0,48.5,167.0,15.4,64.0,277.0,Forest,Carnivore,Omnivore,Terrestrial,1.0,1616653.93,-5.81,9.24,11.29,1.96,23.665510177612305,69.90522766113281,29.405750274658203,18.68549919128418,1795.0
Coturnicops exquisitus,Rallidae,Gruiformes,12.4,2.1,3.5,21.8,74.5,23.0,30.5,60.9,Wetland,Carnivore,Omnivore,Terrestrial,1.0,152804.92,43.32,53.02,126.99,47.98,1.3297604322433472,1592.048828125,26.11050033569336,-27.792499542236328,528.0
Coturnicops notatus,Rallidae,Gruiformes,12.7,2.6,4.2,21.9,73.6,22.5,35.2,30.0,Grassland,Herbivore,Omnivore,Terrestrial,2.0,1592673.32,-40.83,9.64,-57.15,-29.37,20.015281677246094,450.91107177734375,32.26274871826172,8.530750274658203,1536.0
Coturnicops noveboracensis,Rallidae,Gruiformes,15.3,2.3,4.9,23.6,86.0,26.0,33.0,60.9,Wetland,Carnivore,Omnivore,Terrestrial,3.0,3674188.27,42.18,62.12,-93.62,51.67,0.05951042100787163,1369.4581298828125,23.22599983215332,-25.80175018310547,651.0
Crex crex,Rallidae,Gruiformes,24.2,3.5,6.4,40.5,137.0,34.1,51.2,154.9,Grassland,Carnivore,Omnivore,Terrestrial,3.0,12516028.75,38.84,66.5,60.58,53.88,2.576697826385498,1306.5057373046875,25.223249435424805,-19.543249130249023,395.0
Crex egregia,Rallidae,Gruiformes,25.1,3.6,6.9,43.0,121.2,21.1,38.4,119.0,Wetland,Carnivore,Omnivore,Terrestrial,3.0,11681471.46,-30.91,16.83,21.0,-5.1,24.706562042236328,41.696895599365234,30.263999938964844,18.715499877929688,1569.0
Cyanolimnas cerverai,Rallidae,Gruiformes,40.3,4.2,8.2,42.2,102.6,10.0,43.2,175.0,Wetland,Carnivore,Aquatic predator,Terrestrial,1.0,1003.79,22.3,22.57,-81.39,22.44,25.319250106811523,209.48477172851562,31.9117488861084,17.45800018310547,1231.0
Dryolimnas cuvieri,Rallidae,Gruiformes,45.5,4.6,8.1,46.2,137.3,19.1,52.5,182.4,Forest,Carnivore,Omnivore,Terrestrial,1.0,590995.52,-25.61,-9.34,46.7,-19.38,18.588844299316406,209.63282775878906,26.38599967956543,8.261500358581543,1620.0
Fulica americana,Rallidae,Gruiformes,37.3,5.9,10.7,54.8,183.1,36.3,50.6,636.7,Wetland,Herbivore,Herbivore aquatic,Aquatic,2.0,10934633.24,4.77,62.69,-104.08,42.59,7.29116678237915,971.9601440429688,30.428499221801758,-12.970999717712402,388.0
Fulica ardesiaca,Rallidae,Gruiformes,41.6,7.2,12.1,72.1,218.0,32.9,58.8,988.0,Wetland,Herbivore,Herbivore aquatic,Aquatic,1.0,594594.35,-26.17,1.38,-70.11,-16.71,3.4320833683013916,194.58326721191406,13.286999702453613,-9.681750297546387,566.0
Fulica armillata,Rallidae,Gruiformes,38.1,7.3,12.2,65.5,202.4,36.1,51.6,1040.0,Wetland,Herbivore,Herbivore aquatic,Aquatic,1.0,2733323.64,-55.72,-21.72,-65.22,-38.38,15.225125312805176,619.4968872070312,33.28350067138672,0.5452499985694885,348.0
